Galaxy,T,V_flat,burk_a_kpc,burk_bic,burk_chi2,burk_chi2_red,burk_rho0,fw_best_bic,fw_best_chi2,fw_best_chi2_red,fw_best_n_shells,fw_n0_bic,fw_n0_chi2,fw_n0_chi2_red,fw_n1_M_sh1,fw_n1_bic,fw_n1_chi2,fw_n1_chi2_red,fw_n1_r_sh1_kpc,fw_n1_sigma_sh1_kpc,fw_n2_M_sh1,fw_n2_M_sh2,fw_n2_bic,fw_n2_chi2,fw_n2_chi2_red,fw_n2_r_sh1_kpc,fw_n2_r_sh2_kpc,fw_n2_sigma_sh1_kpc,fw_n2_sigma_sh2_kpc,is_clean,logM_halo,logM_star,n_excluded,n_pts_total,n_pts_used,nfw_bic,nfw_chi2,nfw_chi2_red,nfw_r_s_kpc,nfw_rho_s,ratio_fw_over_burk,ratio_fw_over_nfw
NGC2841,3,284.8,6.0484655032770345,343.5196292170466,335.6955832061903,6.993657983462298,169084788.14057884,133.34203720379665,102.0458531603715,2.4296631704850356,2,343.5196292170466,335.6955832061903,6.993657983462298,49999999999.98479,170.14871352732237,150.58859850018163,3.3464133000040364,3.8302365750121226,1.2848276645066143,49999999997.400024,49999999998.46066,133.34203720379665,102.0458531603715,2.4296631704850356,7.402851627049986,3.655566238242432,1.8929365601520343,1.2239554112772724,True,12.78696445154299,10.97340728300738,0,50,50,168.1544235055334,160.33037749467712,3.3402161978057734,11.470170812281529,43548934.63877465,0.3039833059039478,0.6364723563615345
NGC2903,4,184.6,6.765686911744841,59.02766407826883,52.29307241829588,1.9367804599368843,45333489.948091865,37.93372831652755,21.09724916659518,0.8790520486081325,1,59.02766407826883,52.29307241829588,1.9367804599368843,19598160994.566124,37.93372831652755,21.09724916659518,0.8790520486081325,7.031294428481582,2.1068196512970347,10794508108.0764,3943042392.306047,46.48340662878729,19.545039988895496,0.9307161899474046,6.183364342863513,8.985227771785768,1.2645839185290353,0.4778246220776876,False,12.222039586718214,10.612057660349793,5,34,29,164.84610022936334,158.1115085693904,5.855981798866311,18.39379531873576,6827965.317793906,0.40344252481163917,0.133432723256424
NGC2976,5,85.4,3.3148266973941665,12.067090959510526,5.710983298814634,0.25959014994611973,83707766.50453162,12.067090959510526,5.710983298814634,0.25959014994611973,0,12.067090959510526,5.710983298814634,0.25959014994611973,101075893.31597082,20.01738691842467,4.1271177666849415,0.21721672456236535,1.159833615456679,0.011598446652725091,1455566139.3608289,549406876.4640054,30.156877671557705,4.732447028774139,0.2957779392983837,1.4681289210601303,1.9482840457731114,0.48198967449363145,0.01948534695686722,False,11.21771810871555,9.226728756856993,3,27,24,39.02724912622004,32.67114146552415,1.4850518847965524,499.99999999913337,89780.11788829906,1.0,0.17480207432731065
NGC2998,5,209.9,9.835266954168961,66.2497740286352,61.11987531371212,5.556352301246556,26182816.225747526,19.354809467576082,6.5300626802684,0.81625783503355,1,66.2497740286352,61.11987531371212,5.556352301246556,17442252635.864376,19.354809467576082,6.5300626802684,0.81625783503355,2.1507447947796448,0.8602979179118578,13611512818.63134,2449443798.705013,23.798785565253333,3.279190705561037,0.6558381411122074,2.3855818097646777,0.4442066150482797,0.5672390782842637,0.1485474532805969,True,12.389381812395737,10.877665000130216,0,13,13,32.144814533475106,27.01491581855203,2.4559014380501845,17.210709298745957,8510254.259274911,0.10684024872026192,0.2417206377442787
NGC3109,9,66.2,4.6819461467899,9.864807034245707,3.427055384509307,0.14900240802214376,21153866.804470573,9.864807034245707,3.427055384509307,0.14900240802214376,0,9.864807034245707,3.427055384509307,0.14900240802214376,359268172.72232157,18.403720382436674,2.309341258095672,0.11546706290478359,2.2191852494021913,0.726292830914297,142744370.44402042,3581172.129326199,26.91177197494826,1.1607653760026562,0.06828031623545036,1.7587169558126619,0.2739176201500926,0.3046222246170937,0.01679333137722705,True,10.885918464967634,7.986771734266245,0,25,25,158.94924056128653,152.51148891155012,6.630934300502179,499.99999999989745,42370.925165592525,1.0,0.022470801439076152
NGC3198,5,150.1,6.696269232646883,75.30719108070785,67.92943217247998,1.7876166361178942,34345557.705943584,43.98299262381188,14.471956990900392,0.45224865596563724,2,75.30719108070785,67.92943217247998,1.7876166361178942,2938036887.6469774,53.36709205320379,34.92269478263411,0.9977912795038317,2.7024593524232716,0.6671018498334409,4970481889.622948,31947487935.44635,43.98299262381188,14.471956990900392,0.45224865596563724,3.182812552864819,8.923057973226909,0.9432075822250765,3.380651937269471,False,11.952486573378346,10.281930588086734,3,43,40,58.32570275415799,50.94794384593011,1.3407353643665818,16.183444641012805,5793936.957600827,0.21304398591400808,0.28405379880814285
NGC3521,4,213.7,5.665716212311973,38.33459754975973,30.90745341635111,0.7924988055474643,71836502.73786022,20.803735231538496,2.2358748980169576,0.0621076360560266,1,38.33459754975973,30.90745341635111,0.7924988055474643,2745723692.463978,20.803735231538496,2.2358748980169576,0.0621076360560266,1.0837700188246233,0.4335080075298493,3745683642.7499104,16758387760.147058,30.932923573179167,1.2243470395447018,0.03710142544074854,1.262448682683042,6.210374282543752,0.5049794730732167,1.2862757111268595,True,12.412758063140744,10.627550187767522,0,41,41,20.173070131758653,12.745925998350037,0.32681861534230866,27.957256516728155,4274734.438841937,0.07234096151170133,0.17541878858439883
NGC3726,5,168.0,12.75952305283469,29.214183282389396,24.244369982813396,2.4244369982813394,9191219.288853958,18.010365007664035,5.585831758724035,0.797975965532005,1,29.214183282389396,24.244369982813396,2.4244369982813394,17698064637.38286,18.010365007664035,5.585831758724035,0.797975965532005,7.265234271032598,1.3441672950743637,6150505501.204333,11052515956.263567,24.94380590132086,5.064552703016857,1.2661381757542143,8.036429552177047,6.651388908511899,0.08529379632707362,1.58579214443122,True,12.099272341826122,10.545517407601492,0,12,12,25.395363638961236,20.425550339385236,2.0425550339385237,141.01767770992316,219466.8177252358,0.23039706796603823,0.2734727665062344
NGC3769,3,118.6,6.533191146732119,10.43777936208641,5.641988816489667,0.6268876462766297,22870875.745616954,10.43777936208641,5.641988816489667,0.6268876462766297,0,10.43777936208641,5.641988816489667,0.6268876462766297,15278608283.203136,12.54821417699409,0.5587378130022361,0.09312296883370602,6.086860035501274,1.6258392476012054,1833264707.0685003,13686005782.880207,19.72320174181611,0.5400395594291422,0.18001318647638073,8.570762860083821,5.816743536080415,0.3612309395491907,1.4586002849494466,False,11.645598563733266,9.970323626438503,1,12,11,13.020320345632772,8.22452980003603,0.9138366444484478,15.798957285473184,4042920.3899125285,1.0,0.6859953035205673
NGC3877,5,168.4,1.217018928306068,11.893078148195617,7.097287602598875,0.788587511399875,612510084.2649623,11.893078148195617,7.097287602598875,0.788587511399875,0,11.893078148195617,7.097287602598875,0.788587511399875,12669440790.713266,13.526834414324446,1.5373580503325932,0.25622634172209885,2.988668571439289,0.8483016356814335,6287943843.046056,6235713349.555696,20.57848749383326,1.3953253114462947,0.4651084371487649,2.3762327185476844,3.5632323148334883,0.5319143348719391,0.3624210294387031,False,12.102370758139427,10.559517619720909,2,13,11,12.563193488224048,7.767402942627307,0.863044771403034,1.5525812284933724,374814434.4476771,1.0,0.913727233545352
