galaxy,n,rmax,burk_chi2,burk_chi2_red,burk_bic,ein0_chi2,ein0_chi2_red,ein0_bic,ein1_chi2,ein1_chi2_red,ein1_bic,ein2_chi2,ein2_chi2_red,ein2_bic,fw_einasto_n_shells,fw_einasto_chi2,fw_einasto_chi2_red,fw_einasto_popt,T,V_flat,burk_canonical_chi2_red,fw_burkert_n_shells,fw_burkert_chi2_red
NGC2841,50,63.64,335.6955832066427,6.993657983471723,343.519629217499,86.44309345124597,1.8392147542818291,98.1791624675304,56.501481514125125,1.2841245798664802,79.973619546694,36.85653472952057,0.8989398714517212,72.06474177837387,2,36.85653472952057,0.8989398714517212,"[6.997394400028821, 1.0539517853653149, 0.1211198760635265, 10.699999999999998, 47.176302865932556, 0.47176302868226927, 10.699999999999998, 49.56045777655184, 0.49560461192860467]",3,284.8,6.993657983462298,2,2.4296631704850356
NGC2903,29,24.96,52.29307241830224,1.93678045993712,59.02766407827519,43.38353249205899,1.6685974035407303,53.48541998201841,20.611514529392963,0.896152805625781,40.81528950931181,19.513125471035575,0.9756562735517788,49.81878794091384,1,20.611514529392963,0.896152805625781,"[6.3310769579232735, 1.1865151465086279, 1.199999999999982, 10.392172542536105, 6.9129316055649355, 2.249917091657692]",4,184.6,1.9367804599368843,1,0.8790520486081325
NGC2976,24,2.27,5.710983298814956,0.25959014994613433,12.067090959510846,5.712029013994146,0.27200138161876886,15.246190505037983,3.8444531119410597,0.21358072844117,22.912776094028736,3.4054513178773793,0.22703008785849196,32.00793579100889,0,5.712029013994146,0.27200138161876886,"[7.191474915720581, 0.5825337706565034, 1.1999999999999997]",5,85.4,0.2595901499461197,0,0.2595901499461197
NGC2998,13,42.28,61.11987531352158,5.556352301229235,66.24977402844466,9.721283383928482,0.9721283383928482,17.416131456313092,3.5602413485211053,0.5086059069315865,18.949937493290328,1.8945393082241297,0.47363482705603244,24.97908352537796,0,9.721283383928482,0.9721283383928482,"[4.97741235757723, 1.9216067961821215, 0.05000000000000036]",5,209.9,5.556352301246556,1,0.81625783503355
NGC3109,25,6.45,3.4270553845101537,0.1490024080221806,9.864807034246555,3.451852547559712,0.15690238852544144,13.108480022164313,2.253996556280953,0.11863139769899754,21.567251505490155,1.3121857431533999,0.08201160894708749,30.282068166967203,0,3.451852547559712,0.15690238852544144,"[6.564432092174733, 0.7599527613838243, 1.1447860284266036]",9,66.2,0.1490024080221437,0,0.1490024080221437
NGC3198,40,44.08,67.92943217248063,1.7876166361179113,75.3071910807085,36.49987271974793,0.9864830464796737,47.56651108208973,11.194442099015436,0.3292482970298658,33.32771882369906,8.302647767683471,0.2678273473446281,41.5025628547089,1,11.194442099015436,0.3292482970298658,"[6.510154378609893, 1.0478841068824567, 0.5364249359895965, 10.649222678374208, 37.02412433646354, 4.522397528215927]",5,150.1,1.7876166361178942,2,0.4522486559656372
NGC3521,41,17.74,30.907453415025646,0.7924988055134781,38.33459754843426,11.156374510814551,0.2935888029161724,22.297090710927474,2.1379430231648797,0.06108408637613942,24.419375423390726,2.3652332020666353,0.07391353756458235,35.787381802405406,0,11.156374510814551,0.2935888029161724,"[4.000000000000001, 2.642942531388393, 0.0873193006905887]",4,213.7,0.7924988055474643,1,0.0621076360560266
NGC3726,12,32.52,24.244369982720595,2.4244369982720597,29.214183282296595,20.15636523510629,2.2395961372340323,27.61108518447029,5.4626360121137925,0.9104393353522987,20.372075910841794,1.72609520949034,0.5753650698301133,24.090255057582343,1,5.4626360121137925,0.9104393353522987,"[5.344414244293526, 2.9999999999991034, 1.1999999999999975, 10.260723840686765, 7.290090000599531, 1.3817390011479147]",5,168.0,2.4244369982813394,1,0.797975965532005
NGC3769,11,37.16,5.64198881648967,0.62688764627663,10.437779362086411,6.559714584934366,0.8199643231167958,13.75340040332948,0.4675547834720538,0.09351095669441076,14.854926420262277,0.05901020189151227,0.029505100945756136,21.64006765707685,0,6.559714584934366,0.8199643231167958,"[6.254438514064274, 1.0904165534103603, 0.4958281307175322]",3,118.6,0.6268876462766297,0,0.6268876462766297
NGC3877,11,11.35,7.097287602602948,0.7885875114003276,11.893078148199688,6.267612766677901,0.7834515958347377,13.461298585073013,1.5200349731992402,0.30400699463984804,15.907406609989465,0.5591017285264754,0.2795508642632377,22.140159183711813,0,6.267612766677901,0.7834515958347377,"[7.56775484295701, 0.4572718852583576, 1.199999999997665]",5,168.4,0.788587511399875,0,0.788587511399875
NGC3893,10,19.05,2.8268221449692206,0.35335276812115257,7.431992330957312,2.8026755102793106,0.40038221575418725,9.710430789261448,0.7188065377554458,0.17970163443886145,14.534317095719722,0.40352603169594986,0.40352603169594986,21.126791868642364,0,2.8026755102793106,0.40038221575418725,"[6.952104287214736, 0.8928818625581444, 0.997721317546329]",5,174.0,0.3533527681213128,0,0.3533527681213128
NGC3917,16,14.86,8.922137725539216,0.6372955518242297,14.467315170018779,10.563581667641484,0.8125832052031912,18.881347834360827,1.8669925781075416,0.18669925781075417,18.502524911546228,1.0379212084416731,0.14827445834881045,25.991219708599704,1,1.8669925781075416,0.18669925781075417,"[6.629370052218035, 0.934607031071359, 0.9546778399081074, 9.418667403020054, 2.7049536030896126, 0.13125054697954547]",6,135.9,0.6372955518242344,0,0.6372955518242344
NGC3949,7,7.07,2.0900154498763444,0.41800308997526886,5.98183574798697,1.8132653990584453,0.4533163497646113,7.650995846224385,0.5878944167963072,0.5878944167963072,12.263355311128187,0.26441541583887895,-0.13220770791943948,17.7776067573367,0,1.8132653990584453,0.4533163497646113,"[4.526208930471224, 2.9999999999999747, 0.23596968627145118]",4,163.0,0.4180030899797516,0,0.4180030899797516
